,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Housing & Urban Development,830.65,101.44,64.95,116.43,189.93,231.64,180.63,96.61,69.68,41.49
Public Works,483.39,271.78,188.76,366.15,269.05,378.41,364.21,328.21,158.86,92.03
Irrigation and Flood Control,"1,373.72","1,204.26","1,046.31","1,328.79","1,476.46","1,689.15","1,510.91","1,156.94",378.94,454.01
Energy ,"4,211.67","1,500.09","3,973.66",89.32,"1,413.09","1,760.67","1,228.51","7,375.42",779.04,175.35
Agriculture & Allied Activities,654.48,353.74,75.78,153.85,390.33,607.53,573.22,123.5,97.6,25.91
Industries & Minerals,110.99,"1,002.00",7.76,4,6.5,15.5,5,1,1.16,2
Transport,"3,437.52","3,202.12","3,120.32","3,686.95","3,870.54","5,141.76","4,504.99","3,476.19","2,459.95","1,994.65"
Police,372.95,449.06,570.88,806.63,463.2,371.97,188.68,209.63,153.8,72.7
Rural Development,"2,222.33","1,145.21","1,288.23","1,991.11","2,463.27","2,096.30","2,077.87","1,754.97","1,363.73","1,151.64"
"Welfare of SCs, STs, OBCs and Minorities",848.34,364.42,269.28,165.36,394.59,265.29,264.04,234.38,172.72,168.03
Social Welfare & Nutrition,42.6,11.92,5.29,0.87, -   ,16.53,116.96,88.8,160.02,102.63
Tourism,78.13,54.95,43.61,44.46,99.37,71,74.27,61.42,13.53,15.44
Others,83.62,90.75,71.29,145.67,131.07,156.61,120.44,95.11,74.53,16.12
Karnataka  (Total),"60,598.55","52,083.80","48,075.22","39,598.52","39,146.54","35,758.98","30,084.81","21,369.44","20,198.44","17,642.29"
"Education, Sports, Art & Culture","1,590.01","1,634.07","1,167.87","1,203.17","1,107.31","1,143.12","1,108.46",717.96,317.21,388.1
Health & Family Welfare,"1,230.26","2,574.84","2,099.44",821.96,"1,107.97","1,132.32",743.66,819.71,790.43,440.41
Water Supply and Sanitation,"1,921.49","3,146.22","3,662.45","2,881.86","2,075.07",885.13,734.89,726.62,"1,494.79","1,169.62"
Housing & Urban Development,"6,939.55","6,464.35","4,535.82","2,419.08","4,384.81","3,408.68","3,486.67","1,235.21",538.12,435.88
Public Works,"1,037.07",778.26,838.53,420.86,536.12,605.74,533.05,483.83,421.7,404.29
Irrigation and Flood Control,"21,221.13","19,075.60","17,785.17","13,342.73","12,095.67","10,391.83","8,634.90","6,955.13","7,779.22","6,383.82"
Energy ,"1,120.92",350,650.12,"3,358.35","2,127.85",839.95,916.46,77.57,309.68,386.62
Agriculture & Allied Activities,"1,304.13",871.22,746.24,334.16,219.08,"3,630.79",550.12,198.22,270.4,301.76
Industries & Minerals,"1,551.84","1,409.95","1,647.10",939.24,"1,146.70","1,222.12",501.36,783.01,369.98,293.56
Transport,"14,127.54","10,142.78","11,016.83","8,896.81","8,858.80","7,378.51","7,623.61","5,399.45","5,146.77","5,298.47"
Police,581.77,149.89,365.76,356.39,288.06,369.45,524.21,502.85,192.83,93.67
Rural Development,263.87,306.13,86.53,64.8,66.83,113.74,49.26,6.63,14,58.32
"Welfare of SCs, STs, OBCs and Minorities","2,315.07","1,952.86","1,163.80","2,783.45","3,422.37","2,993.40","2,242.65","2,014.36","1,326.27",905.21
Social Welfare & Nutrition,154.99,75.82,192.86,80.07,71.44,175.18,140.15,76.8,70.66,111.55
Tourism,155.46,123.82,69.99,283.18,265.67,258.71,257.3,214.63,193.9,194.22
Others,"5,083.45","3,027.99","2,046.71","1,412.41","1,372.79","1,210.31","2,038.06","1,157.46",962.48,776.79
Kerala  (Total),"16,787.49","17,046.03","15,438.16","9,665.02","9,753.43","10,289.46","11,286.24","8,342.29","4,997.68","5,758.50"
"Education, Sports, Art & Culture",589.91,529.82,386.3,311.15,472.66,528.1,345.08,441.24,307.32,200.48
Health & Family Welfare,359.48,310.43,416.4,244.23,414.58,423.57,256.45,219.67,193.2,130.32
Water Supply and Sanitation,"1,751.79","2,149.01","1,146.16",271.58,538.94,319.9,265.08,160.28,127.9,255.17
Housing & Urban Development,53.79,58.92,146.69,19.88,87.5,145.36,37.71,64.05,88.25,325.67
Public Works,260.35,196.17,177.24,132.71,153.85,216.97,186.09,249,101.68,146.19
Irrigation and Flood Control,402.68,440.64,302.15,282.83,271.78,544.49,674.83,526.23,270.24,342.39
Energy ,42.09,58.32,28.85,14.06,110.59,68.55,51.66,16.33,21.4,3.4
Agriculture & Allied Activities,852.06,665.1,665.95,438.09,964.26,785.72,715.69,613.05,486.35,324.46
Industries & Minerals,887.59,832.58,916.46,378.67,499.68,881.07,754.75,574.61,328.02,582.16
Transport,"5,014.60","6,506.71","5,636.88","4,066.49","3,329.91","4,279.61","3,895.87","3,548.43","2,174.45","2,363.49"
Police,41.94,69.57,75.25,21.63,33.83,48.04,23.75,3.66,29.82,0.02
Rural Development,"1,446.86","1,194.05","1,712.44",916.32,316.95,515.47,615.58,437.58,218.21,30.58
"Welfare of SCs, STs, OBCs and Minorities",174.93,199.77,130.4,117.35,176.82,99.94,190,57.01,40.22,33.28
Social Welfare & Nutrition,19.75,17.45,34.7,29.82,121.14,40.43,95.15,21.95,50.31,38.74
Tourism,107.07,152.52,239.76,81.68,123.05,179.24,175.43,126.53,134.17,140.43
Others,"4,782.60","3,664.97","3,422.53","2,338.53","2,137.89","1,213.00","3,003.12","1,282.67",426.14,841.72
Madhya Pradesh  (Total),"46,798.54","43,961.80","31,586.09","30,228.64","30,513.85","32,463.42","32,228.58","19,993.38","24,412.29","15,890.04"
"Education, Sports, Art & Culture","2,170.07","1,551.71","1,356.43","1,536.52","1,000.19",728.34,781.77,783.12,326.91,141.6
Health & Family Welfare,"1,609.82",962.77,738.98,"1,096.31","1,217.72","1,039.87",564.69,226.06,240.48,166.01
Water Supply and Sanitation,"6,739.49","8,928.65","3,951.35","2,399.85","2,006.14","1,826.15",723.9,915.29,946.55,756.86
Housing & Urban Development,"3,593.69","3,501.80","1,939.26","1,151.85",922.92,711.31,419.69,612.12,149.07,208.06
Public Works,527.07,341.61,366.67,406.46,347.73,328.95,330.07,334.12,136.47,114.87
Irrigation and Flood Control,"12,395.51","10,156.54","10,015.50","8,995.94","8,378.39","7,973.14","8,470.49","6,372.71","4,127.17","4,537.31"
Energy ,"1,942.95","2,185.00",710.56,890.69,"2,657.73","8,185.82","7,829.12","3,144.89","12,750.14","4,983.01"
Agriculture & Allied Activities,"1,389.93","2,271.52",956.19,659.78,"1,992.12",528.9,"1,880.37",373.9,563.81,490.71
Industries & Minerals,"1,756.02",660.3,700.51,752.85,544.65,604.44,"2,028.63",506.69,428.63,542.92
Transport,"7,549.23","7,092.61","5,470.71","6,155.53","6,891.84","6,400.35","4,671.99","3,377.04","2,874.78","2,382.55"
Police,616.77,633.55,594.93,553.85,369.87,404.77,362.85,189.72,96.57,58.03
Rural Development,"4,203.77","4,232.34","3,782.09","4,452.28","3,218.49","2,186.54","3,169.35","2,418.78","1,248.89",702.69
"Welfare of SCs, STs, OBCs and Minorities","1,114.13",571.06,822.23,982.48,738.17,"1,061.28",549.83,417.97,295.36,361.2
Social Welfare & Nutrition,177.96,99.01,35.78,70.22,29.37,118.16,203.85,57.81,100.99,327.99
Tourism,128,107.14,50.33,59.45,66.95,114.06,112.14,177.36,60.05,58.38
Others,884.13,666.19,94.57,64.58,131.57,251.34,129.84,85.8,66.42,57.85
Maharashtra  (Total),"66,308.02","49,106.42","32,028.55","38,385.43","36,594.22","27,821.47","31,826.48","23,907.79","20,664.01","21,665.55"
"Education, Sports, Art & Culture",348.74,216.35,113.12,216.14,364.12,106.62,52.28,114.19,95.81,102.23
Health & Family Welfare,"1,724.17","1,612.26",989.7,"1,115.86","1,036.72",569.85,602.39,650.64,469.54,553
Water Supply and Sanitation,177.46,357, -   , -   ,32.53,19.9,22.66,463.14,160.8,83.3
Housing & Urban Development,"8,351.96","2,592.80","3,718.54","3,553.72","2,911.04","1,144.22",774.27,567.47,345.07,697.19
Public Works,"1,534.78","1,371.71",823.29,486.67,666.08,554.6,618.21,555.8,531.31,563.87
Irrigation and Flood Control,"11,119.24","10,206.76","7,625.53","11,002.42","11,912.33","9,368.43","8,765.01","8,066.69","7,011.24","7,886.51"
Energy ,"1,252.78","1,346.71",208.97,81.02,619.07,807.58,"5,783.47","1,575.50","1,932.02","2,663.00"
Agriculture & Allied Activities,"7,257.78","5,286.50","3,402.22","5,270.35","5,133.91","5,471.52","3,650.08","3,313.17","3,526.74","1,566.31"
Industries & Minerals,217.53,19.9,31.64,8.8,27.42,25.21,122.65,82.13,119.22,2.11
Transport,"26,693.26","21,079.81","11,816.34","12,852.79","10,056.84","6,639.43","5,461.23","4,725.45","3,699.85","4,588.09"
Police,557.2,291.91,204.85,279.06,283.03,165.76,547.93,109.03,213.71,263.67
Rural Development,"2,356.06","1,749.48","1,526.04","1,501.88","1,336.11","1,257.56","1,686.95","1,463.85",934.88,802.87
"Welfare of SCs, STs, OBCs and Minorities","1,330.84",854.85,694.01,776.77,679.36,596.69,436.98,724.13,869.01,827.08
Social Welfare and Nutrition,91.54,63.42,18.05,32.52,29.25,44.92,26.89,77.68,54.81,76.25
Tourism,47.43,99.9,47.1,94.23,137.32,24,10.22,0.51,11.4,16
Others,"3,247.25","1,957.06",809.15,"1,113.20","1,369.09","1,025.18","3,265.26","1,418.41",688.6,974.07
Manipur  (Total),"3,491.82","3,254.42","2,449.38","1,155.24","1,730.77","1,431.70","1,493.82","1,239.47","1,332.78","1,291.93"
"Education, Sports, Art & Culture",72.54,106.06,53.01,55.13,82.13,57.41,52.31,73.3,129.19,39.74
Health & Family Welfare,194.92,72.74,134.12,41.09,15.75,19.3,53.97,42.73,158.64,114.16
Water Supply and Sanitation,777.79,784.29,608.94,266.72,304.61,240.84,216.58,163.6,178.04,76.61
Housing & Urban Development,150.37,148.58,121.88,132.15,192.36,216.17,58.77,37.73,50,56.52
Public Works,68.13,52.96,43.74,31.03,106.54,32.81,84.46,145.56,189.52,220.27
Irrigation and Flood Control,226.66,183.32,365.67,144.09,282.2,169.73,405.11,171.06,181.09,172.49
Energy , -   , -   , -   , -   , -   , -   , -   ,43.98,38.89,198.35
Agriculture & Allied Activities,17.18,12.62,33.7,7.39,5.19,4.29,1.75,8.76,6.75,11.82
Industries & Minerals,9.44,5.29,21.23,10.27,13.34,9.98,12.85,4.43,17.13,15.72
Transport,652.19,443.2,419.49,252.31,404.87,314.92,464.81,258.55,217.42,252.67
